Borough,Vietnamese Restaurant,Falafel Restaurant,French Restaurant,Seafood Restaurant,Italian Restaurant,Restaurant,German Restaurant,Sushi Restaurant,Modern European Restaurant,Chinese Restaurant,South American Restaurant,English Restaurant,American Restaurant,Ramen Restaurant,Indian Restaurant,Mediterranean Restaurant,Empanada Restaurant,Portuguese Restaurant,Turkish Restaurant,Spanish Restaurant,Japanese Restaurant,Szechuan Restaurant,Vegetarian / Vegan Restaurant,Asian Restaurant,Cantonese Restaurant,Tapas Restaurant,Israeli Restaurant,Lebanese Restaurant,Scandinavian Restaurant,North Indian Restaurant,Korean Restaurant,Eastern European Restaurant,Middle Eastern Restaurant,Kebab Restaurant,Argentinian Restaurant,Jewish Restaurant,Arepa Restaurant,Afghan Restaurant,Austrian Restaurant,Udon Restaurant,Caucasian Restaurant,Mexican Restaurant,Fast Food Restaurant,Greek Restaurant,Brazilian Restaurant,Thai Restaurant,Latin American Restaurant,Dim Sum Restaurant,Belgian Restaurant,Malay Restaurant,Okonomiyaki Restaurant,Peruvian Restaurant,Yoshoku Restaurant,Ethiopian Restaurant,Paella Restaurant,Persian Restaurant,New American Restaurant,Caribbean Restaurant,South Indian Restaurant,Sri Lankan Restaurant,Southern / Soul Food Restaurant,Polish Restaurant,Doner Restaurant,African Restaurant,Taiwanese Restaurant,Dumpling Restaurant,Yakitori Restaurant,Veneto Restaurant,Moroccan Restaurant,Ukrainian Restaurant,Bulgarian Restaurant,Hunan Restaurant,Shaanxi Restaurant,Indonesian Restaurant,Cajun / Creole Restaurant,Filipino Restaurant,Australian Restaurant,Iraqi Restaurant,Pakistani Restaurant,Halal Restaurant,Scottish Restaurant,Russian Restaurant,Molecular Gastronomy Restaurant
Hackney,2,0,1,1,3,7,0,0,1,0,0,0,0,1,1,0,0,0,3,1,1,0,4,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hammersmith and Fulham,2,2,4,0,9,2,0,1,1,4,0,0,0,0,8,1,0,0,2,0,6,0,1,0,0,2,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,3,1,0,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Haringey,0,0,0,0,2,2,0,0,0,0,0,0,0,0,6,4,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harrow,0,0,1,0,2,0,0,0,0,2,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Havering,0,0,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillingdon,0,0,0,0,2,2,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hounslow,0,0,0,0,0,2,0,0,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Islington,4,0,5,2,10,5,0,3,2,5,0,2,0,2,3,5,0,0,4,2,3,1,2,1,0,2,0,0,0,0,2,0,2,1,0,0,0,0,0,0,1,3,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Kensington and Chelsea,0,0,5,1,21,9,0,1,2,8,0,2,1,1,9,3,0,0,2,0,6,0,0,1,0,4,0,5,1,0,0,0,11,2,1,0,0,0,0,0,0,0,1,5,0,5,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Kingston upon Thames,1,1,1,1,5,1,1,0,0,3,0,0,0,0,5,0,0,0,1,0,3,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lambeth,0,0,2,0,1,8,0,0,2,0,1,1,0,1,4,2,0,2,1,0,4,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisham,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merton,1,0,0,0,4,1,0,3,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newham,0,0,0,0,2,3,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redbridge,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond upon Thames,0,0,4,3,9,4,2,0,0,2,0,1,1,0,8,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwark,4,0,3,2,7,8,1,0,2,0,0,5,0,2,3,1,0,0,2,3,6,2,3,1,1,1,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutton,0,0,1,0,4,1,0,0,0,2,0,1,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tower Hamlets,0,1,0,0,6,4,0,2,1,3,0,4,0,1,7,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Waltham Forest,0,0,0,0,2,3,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,2,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wandsworth,0,0,4,1,6,3,0,0,0,2,0,1,0,0,3,3,0,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Westminster,0,0,11,7,11,13,0,1,2,3,0,2,3,0,9,3,0,0,0,1,5,0,1,2,1,2,1,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
